>Refrigerated 1
ice cream,250
frozen meat,550
>Refrigerated 2
frozen meat,25
frozen vegetable mix,325
ice,325
fish,125
>Refrigerated 3
fish,350
cheese,450
>Refrigerated 4
milk,425
yoghurt,325
beef,50
>Refrigerated 5
beef,500
chicken,300
>Refrigerated 6
chicken,125
asparagus,275
celery,350
grapes,50
>Refrigerated 7
grapes,175
mushrooms,325
tomatoes,300
>Refrigerated 8
tomatoes,100
lettuce,350
bread,200
chocolate,150
>Ordinary 1
chocolate,225
chips,200
nuts,250
biscuits,325
>Ordinary 2
biscuits,250
pasta,250
beans,500
>Ordinary 3
beans,25
rice,300
